turntable_feature_id,manufacturer,model_name,feature_kind,feature_text,status,confidence,feature_notes,source_name,source_url,source_type,trust_level,local_snapshot_path
23,Acoustic Signature,Invictus NEO,summary,"Reference high-mass belt-drive turntable with six isolated AC motors, external DMC-20 motor controller, massive aluminium chassis, and support for up to four tonearms.",parsed,0.97,Official product summary.,Acoustic Signature Invictus NEO official page,https://www.acoustic-signature.com/products/turntables/invictus-neo/,official_website,official,
24,Acoustic Signature,Invictus NEO,engineering,"Acoustic Signature specifies a Dura Turn Diamond bearing, 16.5 kg 335 mm sandwich platter with brass layer and 48 silencer modules, CLD damping chassis, belt drive with fine speed adjustment, and 3D magnetic double-damping feet.",parsed,0.97,Official technical digest.,Acoustic Signature Invictus NEO official page,https://www.acoustic-signature.com/products/turntables/invictus-neo/,official_website,official,
75,Acoustic Signature,Maximus NEO,summary,"Compact NEO-series belt-drive turntable with integrated digital motor control, DTD bearing, resonance-reducing aluminium chassis, and gel-damped three-point support.",parsed,0.97,Official product summary.,Acoustic Signature Maximus NEO official page,https://www.acoustic-signature.com/products/turntables/maximus-neo/,official_website,official,
76,Acoustic Signature,Maximus NEO,technical,"Acoustic Signature lists one integrated AC motor, belt drive with speed fine adjustment, AVC Level 1, Dura Turn Diamond bearing, 5.8 kg aluminium platter, 30 mm aluminium chassis, compatibility with one 9-inch tonearm, and total weight around 18 kg.",parsed,0.97,Official technical digest.,Acoustic Signature Maximus NEO official page,https://www.acoustic-signature.com/products/turntables/maximus-neo/,official_website,official,
25,Audio Note,TT-Three,summary,"Three-motor suspended belt-drive turntable using a very light Lexan platter, digitally synthesized master motor control, and an Audio Note armboard configuration for the company’s own 9-inch tonearms.",parsed,0.96,Official product summary.,Audio Note TT-Three official page,https://www.audionote.co.uk/tt-three,official_website,official,
26,Audio Note,TT-Three,suspension,"Audio Note describes a three-point suspended design centered at the bearing, with sub-chassis mass balancing so each suspension tower carries an equalized load.",parsed,0.95,Official suspension summary.,Audio Note TT-Three official page,https://www.audionote.co.uk/tt-three,official_website,official,
31,Basis Audio,Debut V,summary,"Basis Audio’s official site explicitly references the Debut Mark 5 as a new turntable in the Debut line, described there as a significant improvement over Debut III with lower noise, stronger dynamics, tighter bass, and better-defined highs.",parsed,0.82,Official manufacturer-hosted historical/support page rather than product page.,Basis Audio awards and reviews page,https://www.basisaudio.com/awards-reviews/,official_website,official,
32,Basis Audio,Debut V,suspension,"Basis says its Signature Series revisions further distance the Debut suspension, already described by the company as the most effective isolation system on any turntable, from competing suspensions while also reducing motor vibration and improving bearing finish.",parsed,0.85,Official engineering/support summary.,Basis Audio Signature Series technical paper,https://www.basisaudio.com/turntables/signature-series-technical-paper/,official_website,official,
37,Brinkmann,Bardo,summary,"Magnetic direct-drive turntable derived from Brinkmann’s Oasis concept, with rotating arm base for 9- to 12-inch tonearms, selectable 33⅓ and 45 RPM speeds, and external power supply.",parsed,0.97,Official product summary.,Brinkmann Bardo official page,https://www.brinkmann-audio.de/main.php?lang=en&prod=bardo,official_website,official,
38,Brinkmann,Bardo,engineering,"Brinkmann specifies a magnetic direct-drive motor with soft proportional control, hydrodynamic journal bearing, resonance-optimized aluminium platter with crystal-glass surface, 15 mm Duralumin chassis, wow and flutter of 0.035% weighted DIN, and total weight of 14.8 kg.",parsed,0.97,Official technical digest.,Brinkmann Bardo official page,https://www.brinkmann-audio.de/main.php?lang=en&prod=bardo,official_website,official,
